,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,-3.21688,-3.67804,-2.66728,-0.28931,-0.72146
Exp2,-3.20681,-3.86295,-0.35205,-2.36572,-1.14517
Exp3,-1.8517,-2.44602,-0.94171,-0.50971,-0.99459
Exp4,-1.66831,-2.26297,-1.68032,-0.34948,-0.23317
Exp5,-3.73557,-4.73438,-1.25382,-2.13108,-1.34948
Exp6,-3.18249,-3.85678,-1.9981,-1.37807,-0.48062
Exp7,-4.00199,-4.58614,-1.8773,-1.26576,-1.44308
Exp8,-0.35264,-1.23707,-0.3955,-0.41544,-0.42613
Exp9,-2.67916,-3.44189,-0.40731,-1.21556,-1.81902
Exp10,-2.98065,-3.56438,-0.80488,-1.04108,-1.71842
