,Dataset,Method,Train-RMSE-Mean,Train-RMSE-Std,Train-CI-LB,Train-CI-UB,TrainRMSE-Min,Test-RMSE-Mean,Test-RMSE-Std,Test-CI-LB,Test-CI-UB,Test-RMSE-Min,Step1-RMSE-Mean,Step1-RMSE-Std,Step1-CI-LB,Step1-CI-UB,Step1-RMSE-Min,Step2-RMSE-Mean,Step2-RMSE-Std,Step2-CI-LB,Step2-CI-UB,Step2-RMSE-Min,Step3-RMSE-Mean,Step3-RMSE-Std,Step3-CI-LB,Step3-CI-UB,Step3-RMSE-Min
0,obs,RF,0.2508,0.006,0.2471,0.2545,0.242,0.9081,0.0088,0.9027,0.9136,0.8927,0.3426,0.006,0.3389,0.3463,0.3322,0.5199,0.006,0.5162,0.5237,0.5085,0.661,0.0063,0.6572,0.6649,0.6515
1,obs,DNN,1.861,0.3847,1.6225,2.0994,1.2316,1.7131,0.2627,1.5502,1.8759,1.3565,0.9949,0.2607,0.8333,1.1564,0.7334,1.0299,0.1844,0.9157,1.1442,0.8328,0.9101,0.1512,0.8164,1.0038,0.6893
2,sg5,RF,0.2502,0.0044,0.2475,0.253,0.2445,0.9106,0.0076,0.9059,0.9154,0.8961,0.3454,0.0039,0.3429,0.3478,0.3386,0.5219,0.0054,0.5186,0.5252,0.5139,0.6615,0.0049,0.6585,0.6645,0.6513
3,sg5,DNN,2.0542,0.5907,1.6881,2.4203,1.4291,1.8665,0.4302,1.5998,2.1331,1.2941,1.0089,0.4256,0.7451,1.2727,0.503,1.0732,0.3488,0.857,1.2894,0.7214,1.0797,0.1749,0.9713,1.1881,0.8184
4,sg7,RF,0.2508,0.0056,0.2473,0.2542,0.2402,0.9143,0.0088,0.9089,0.9198,0.902,0.3455,0.008,0.3405,0.3504,0.3356,0.5249,0.0068,0.5207,0.529,0.518,0.6642,0.0041,0.6617,0.6667,0.6567
5,sg7,DNN,2.1469,0.5953,1.7779,2.5158,1.1877,1.9096,0.4023,1.6603,2.159,1.2675,1.0474,0.4042,0.7968,1.2979,0.6243,0.9854,0.2111,0.8545,1.1162,0.7033,1.1876,0.3496,0.971,1.4043,0.7806
6,sg9,RF,0.2503,0.0025,0.2487,0.2519,0.2462,0.9148,0.0083,0.9097,0.92,0.9055,0.3464,0.0061,0.3426,0.3502,0.336,0.5244,0.0052,0.5212,0.5277,0.5188,0.6648,0.0053,0.6615,0.668,0.6561
7,sg9,DNN,1.7379,0.2104,1.6075,1.8683,1.3247,1.6845,0.1805,1.5726,1.7964,1.4609,0.9146,0.1671,0.8111,1.0182,0.6661,1.0077,0.1263,0.9294,1.0859,0.8038,0.9721,0.1711,0.8661,1.0782,0.8201
8,ew2,RF,0.2489,0.0042,0.2463,0.2515,0.2417,0.9082,0.0088,0.9028,0.9137,0.8976,0.3463,0.0062,0.3424,0.3502,0.3361,0.5202,0.006,0.5165,0.5239,0.5136,0.659,0.0053,0.6557,0.6623,0.6532
9,ew2,DNN,2.2238,0.3386,2.014,2.4337,1.7083,1.9931,0.2562,1.8344,2.1519,1.6974,1.1737,0.3186,0.9762,1.3712,0.7927,1.0442,0.2068,0.916,1.1723,0.6976,1.1783,0.194,1.0581,1.2986,0.8798
10,ew3,RF,0.2532,0.0059,0.2495,0.2568,0.2454,0.9185,0.0086,0.9132,0.9239,0.9063,0.3502,0.0076,0.3455,0.3549,0.3383,0.5277,0.0062,0.5239,0.5316,0.5183,0.6652,0.0047,0.6623,0.6681,0.6586
11,ew3,DNN,1.8133,0.3046,1.6245,2.0021,1.4408,1.6562,0.1905,1.5381,1.7743,1.4133,1.0683,0.2215,0.9311,1.2056,0.8306,0.8753,0.1316,0.7937,0.9569,0.6966,0.8944,0.074,0.8486,0.9403,0.7839
12,ew4,RF,0.2524,0.004,0.2499,0.2549,0.2451,0.9139,0.0079,0.909,0.9187,0.9007,0.3474,0.0072,0.3429,0.3519,0.3394,0.5229,0.0049,0.5198,0.5259,0.5151,0.6641,0.0056,0.6606,0.6676,0.6536
13,ew4,DNN,1.9648,0.3067,1.7748,2.1549,1.5299,1.763,0.1902,1.6451,1.8809,1.5438,0.9495,0.1477,0.858,1.0411,0.7939,1.0654,0.1966,0.9436,1.1873,0.7605,1.0028,0.2036,0.8766,1.129,0.733
14,or,RF,0.2475,0.0041,0.245,0.2501,0.2417,0.916,0.0094,0.9102,0.9218,0.8994,0.3456,0.0077,0.3409,0.3504,0.3303,0.5254,0.0068,0.5212,0.5296,0.5144,0.6659,0.0053,0.6627,0.6692,0.657
15,or,DNN,2.073,0.2037,1.9468,2.1993,1.8654,1.7995,0.1488,1.7073,1.8917,1.6021,1.0295,0.1951,0.9086,1.1505,0.7909,1.1047,0.1912,0.9862,1.2232,0.8825,0.9468,0.0957,0.8875,1.0061,0.8141
