,fc3_rmse_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_mean,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-obs,0.7771,0.0407,0.8294,0.7424,-0.0782,0.1139,0.0187,-0.225
RNN-obs,0.7705,0.0236,0.8111,0.7506,-0.0581,0.0656,-0.0031,-0.1714
GRU-obs,0.7459,0.0197,0.772,0.7123,0.0085,0.052,0.0965,-0.0613
DNN-obs,0.7586,0.0037,0.7634,0.7521,-0.0248,0.0099,-0.0073,-0.0377
LSTM-obs,0.9056,0.0605,0.9836,0.8195,-0.467,0.1946,-0.1957,-0.7226
CNN-sg5,0.7975,0.0405,0.8487,0.755,-0.1356,0.1161,-0.0151,-0.2826
RNN-sg5,0.7402,0.0148,0.7644,0.7209,0.024,0.0391,0.0745,-0.0404
GRU-sg5,0.7646,0.026,0.8075,0.7326,-0.0422,0.0714,0.0444,-0.1611
DNN-sg5,0.7674,0.0051,0.7735,0.7597,-0.0488,0.0139,-0.0278,-0.0655
LSTM-sg5,0.969,0.0649,1.0429,0.8534,-0.6794,0.2183,-0.2969,-0.9366
CNN-sg7,0.8112,0.0549,0.8805,0.7578,-0.177,0.1607,-0.0226,-0.3804
RNN-sg7,0.7237,0.0206,0.751,0.6979,0.0666,0.0532,0.1326,-0.0042
GRU-sg7,0.6969,0.0162,0.7177,0.6746,0.1347,0.0402,0.1896,0.0828
DNN-sg7,0.7765,0.0054,0.7852,0.7697,-0.0738,0.0151,-0.0548,-0.0979
LSTM-sg7,0.8836,0.0434,0.9262,0.8041,-0.3935,0.1333,-0.1514,-0.5274
CNN-sg9,0.8363,0.0675,0.9228,0.7777,-0.2534,0.2043,-0.0769,-0.5163
RNN-sg9,0.7577,0.0078,0.7642,0.7459,-0.0223,0.021,0.0093,-0.04
GRU-sg9,0.7242,0.0178,0.7567,0.7041,0.0656,0.0465,0.1173,-0.0196
DNN-sg9,0.7866,0.0048,0.7931,0.7785,-0.1018,0.0134,-0.0793,-0.1201
LSTM-sg9,0.8863,0.0705,0.9876,0.8064,-0.4077,0.2257,-0.158,-0.7367
CNN-ew2,0.7801,0.0337,0.8453,0.7566,-0.0857,0.0963,-0.0193,-0.2725
RNN-ew2,0.7519,0.0254,0.7986,0.7265,-0.008,0.069,0.0602,-0.1356
GRU-ew2,0.7387,0.0466,0.8292,0.6974,0.0245,0.1275,0.134,-0.2242
DNN-ew2,0.7653,0.004,0.7707,0.76,-0.0428,0.0109,-0.0285,-0.0577
LSTM-ew2,0.912,0.0323,0.9731,0.8844,-0.4828,0.1071,-0.3927,-0.6861
CNN-ew3,0.8057,0.0515,0.8756,0.7629,-0.1607,0.1498,-0.0364,-0.3651
RNN-ew3,0.7641,0.0378,0.8395,0.7393,-0.0423,0.1066,0.0267,-0.2548
GRU-ew3,0.7521,0.0383,0.7985,0.6829,-0.0098,0.1006,0.1696,-0.1352
DNN-ew3,0.7717,0.0056,0.7813,0.7643,-0.0604,0.0153,-0.0403,-0.0869
LSTM-ew3,0.9588,0.0626,1.0624,0.8858,-0.6441,0.217,-0.3973,-1.0098
CNN-ew4,0.8206,0.0624,0.8988,0.7666,-0.206,0.185,-0.0464,-0.4384
RNN-ew4,0.774,0.0191,0.8067,0.7491,-0.0675,0.0531,0.0008,-0.1589
GRU-ew4,0.7517,0.0233,0.7823,0.7236,-0.007,0.0625,0.0675,-0.0898
DNN-ew4,0.7786,0.0085,0.7879,0.7644,-0.0795,0.0234,-0.0405,-0.1053
LSTM-ew4,0.9178,0.0259,0.9452,0.8834,-0.5011,0.0846,-0.3896,-0.591
CNN-or,0.771,0.0261,0.8204,0.7455,-0.0596,0.0729,0.0104,-0.1985
RNN-or,0.6898,0.0106,0.7043,0.6741,0.1526,0.0259,0.1909,0.1168
GRU-or,0.6801,0.0128,0.6944,0.6572,0.1761,0.0307,0.2309,0.1414
DNN-or,0.753,0.0042,0.7579,0.7469,-0.0096,0.0111,0.0066,-0.0228
LSTM-or,0.7435,0.029,0.7818,0.7031,0.0141,0.0767,0.1198,-0.0884
