,fc2_rmse_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_mean,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-obs,0.766,0.045,0.8033,0.6806,-0.0488,0.1185,0.1749,-0.1494
RNN-obs,0.7473,0.0499,0.8267,0.6871,0.0008,0.1348,0.1591,-0.2174
GRU-obs,0.7614,0.0286,0.8171,0.7399,-0.0341,0.0793,0.0249,-0.1892
DNN-obs,0.7359,0.0753,0.854,0.6264,0.0253,0.1992,0.3011,-0.299
LSTM-obs,0.7456,0.03,0.7781,0.705,0.0082,0.0793,0.1146,-0.0784
CNN-sg5,0.782,0.0207,0.8007,0.7423,-0.0899,0.0569,0.0187,-0.1419
RNN-sg5,0.6884,0.0399,0.751,0.6415,0.1532,0.0987,0.2671,-0.0045
GRU-sg5,0.723,0.0354,0.7733,0.6694,0.0668,0.0909,0.2018,-0.0652
DNN-sg5,0.6504,0.0547,0.7389,0.5975,0.2412,0.13,0.3641,0.0274
LSTM-sg5,0.7263,0.0122,0.7399,0.7064,0.0601,0.0315,0.1113,0.0249
CNN-sg7,0.7176,0.0706,0.78,0.6242,0.0739,0.177,0.3061,-0.0837
RNN-sg7,0.6865,0.0207,0.7144,0.6558,0.1598,0.0505,0.2339,0.0909
GRU-sg7,0.7599,0.0092,0.7728,0.7501,-0.0288,0.0249,-0.0023,-0.0638
DNN-sg7,0.7447,0.0569,0.7962,0.6458,0.0065,0.1463,0.2572,-0.1292
LSTM-sg7,0.7375,0.0209,0.7686,0.7068,0.0305,0.0549,0.1103,-0.0521
CNN-sg9,0.7991,0.0161,0.8213,0.7711,-0.1378,0.0455,-0.0591,-0.2013
RNN-sg9,0.7303,0.0521,0.7941,0.6518,0.0452,0.1341,0.2433,-0.1233
GRU-sg9,0.7592,0.0206,0.7836,0.7315,-0.0274,0.0558,0.0468,-0.0937
DNN-sg9,0.7144,0.0272,0.7595,0.6859,0.0895,0.0699,0.162,-0.0275
LSTM-sg9,0.7334,0.016,0.7648,0.7206,0.0415,0.0425,0.0752,-0.042
CNN-ew2,0.7896,0.0252,0.8139,0.7411,-0.1115,0.0695,0.0218,-0.1799
RNN-ew2,0.7377,0.0396,0.798,0.6839,0.028,0.1044,0.167,-0.1343
GRU-ew2,0.7393,0.0405,0.7881,0.6848,0.0236,0.1059,0.1647,-0.1062
DNN-ew2,0.7002,0.0454,0.7497,0.6265,0.1229,0.1114,0.3008,-0.0012
LSTM-ew2,0.7456,0.0194,0.7667,0.7149,0.0091,0.0512,0.0897,-0.0471
CNN-ew3,0.7921,0.0141,0.8053,0.7659,-0.1181,0.0396,-0.0448,-0.1552
RNN-ew3,0.7217,0.0534,0.7973,0.6641,0.0671,0.139,0.2144,-0.1324
GRU-ew3,0.7287,0.0298,0.7589,0.6815,0.0526,0.0765,0.1728,-0.0257
DNN-ew3,0.7435,0.0665,0.8588,0.679,0.0075,0.1822,0.1788,-0.3136
LSTM-ew3,0.7573,0.0241,0.7887,0.7296,-0.0224,0.0651,0.0519,-0.1078
CNN-ew4,0.7836,0.0202,0.8008,0.757,-0.0946,0.0562,-0.0208,-0.1423
RNN-ew4,0.7192,0.0361,0.7869,0.6828,0.0764,0.095,0.1695,-0.1029
GRU-ew4,0.7536,0.042,0.7992,0.6903,-0.0146,0.1117,0.1512,-0.1376
DNN-ew4,0.81,0.1326,1.0606,0.6855,-0.2,0.4182,0.1631,-1.0035
LSTM-ew4,0.7402,0.0281,0.768,0.6942,0.0226,0.0733,0.1417,-0.0505
CNN-or,0.7842,0.0222,0.8001,0.7408,-0.0963,0.0609,0.0224,-0.1404
RNN-or,0.7136,0.0118,0.7299,0.6988,0.0928,0.0301,0.1302,0.0512
GRU-or,0.7586,0.0363,0.8103,0.7061,-0.0273,0.098,0.112,-0.1694
DNN-or,0.7694,0.0203,0.7993,0.7428,-0.0552,0.0556,0.0171,-0.1379
LSTM-or,0.7516,0.0062,0.7595,0.744,-0.0063,0.0165,0.014,-0.0274
