,fc1_rmse_mean,fc1_r2_mean,test_loss_mean,train_loss_mean,valid_loss_mean,last_epoch,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_std,test_loss_max,test_loss_min,train_loss_std,train_loss_max,train_loss_min,valid_loss_std,valid_loss_max,valid_loss_min
GRU-sg7-3,0.2221,0.9121,0.0385,1.9837,1.1031,1.25e-05,0.0022,0.2243,0.219,0.0018,0.9145,0.9103,0.0003,0.0387,0.0381,0.1956,2.2593,1.8252,0.0392,1.145,1.0507
RNN-sg7-3,0.2403,0.8968,0.0422,2.7202,1.2608,1.25e-05,0.0129,0.2545,0.2233,0.0109,0.9111,0.8846,0.0011,0.0433,0.0408,0.2472,2.9706,2.3837,0.01,1.2739,1.2496
LSTM-or-3,0.2348,0.9017,0.0396,4.5173,1.0505,5e-05,0.0054,0.2413,0.228,0.0046,0.9074,0.8962,0.0009,0.0408,0.0387,0.1453,4.697,4.3411,0.0727,1.1453,0.9686
GRU-anchor,0.2127,0.9194,0.0378,2.2151,1.288,6.25e-06,0.0022,0.2158,0.211,0.0017,0.9207,0.917,0.0002,0.0379,0.0376,0.1131,2.3146,2.0569,0.026,1.3167,1.2538
GRU-attn,0.2166,0.9163,0.0379,1.8657,1.1118,2.5e-05,0.0062,0.2215,0.2078,0.0047,0.923,0.9126,0.0014,0.0398,0.0364,0.224,2.133,1.5849,0.0638,1.2014,1.0575
RNN-attn,0.2251,0.9097,0.0393,2.2755,1.1541,6.25e-06,0.0003,0.2253,0.2247,0.0002,0.91,0.9095,0.0001,0.0394,0.0392,0.0216,2.3046,2.2527,0.045,1.2168,1.1134
LSTM-attn,0.3549,0.7755,0.0551,7.5971,2.1384,7.8125e-07,0.0017,0.3567,0.3527,0.0021,0.7783,0.7733,0.0009,0.0562,0.054,0.2404,7.8864,7.2979,0.1045,2.2586,2.0037
LSTM-anchor,0.2195,0.9141,0.0394,5.2468,1.2702,3.125e-06,0.0028,0.2231,0.2163,0.0022,0.9166,0.9112,0.0005,0.04,0.0389,0.0464,5.2877,5.1818,0.0426,1.3198,1.2158
RNN-anchor,0.2203,0.9135,0.0423,3.3871,1.5662,6.25e-06,0.0057,0.2277,0.2138,0.0045,0.9186,0.9076,0.0005,0.0429,0.0417,0.028,3.4266,3.3668,0.0711,1.6375,1.4691
Transformer,0.6628,0.2169,0.0894,16.2482,4.337,6.25e-06,0.0099,0.6728,0.6493,0.0234,0.2487,0.1932,0.0026,0.0922,0.0859,1.008,17.637,15.2754,0.307,4.771,4.1139
